GEMBASE_NAME,ASSEMBLY_NAME,ASSEMBLY_ACC,STUDY_ID,SAMPLE_ID,CONTIG_ACC,Isolation source,Strain Category,phylogroup
ESCO.0216.00064,M919,GCA_902837545,PRJEB34791,ERS3882805,CADFUW010000001-CADFUW010000021,Host-associated,Mammal_Faecal,A
ESCO.0216.00065,E5795,GCA_902837575,PRJEB34791,ERS3882806,CADFUZ010000001-CADFUZ010000066,Environmental,Water,B2
ESCO.0216.00066,H219,GCA_902837605,PRJEB34791,ERS3882807,CADFVP010000001-CADFVP010000098,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00069,H144,GCA_902837675,PRJEB34791,ERS3882808,CADFVR010000001-CADFVR010000256,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00070,E7727,GCA_902837715,PRJEB34791,ERS3882809,CADFVL010000001-CADFVL010000067,Environmental,Water,B2
ESCO.0216.00071,E2508,GCA_902837615,PRJEB34791,ERS3882810,CADFVH010000001-CADFVH010000054,Environmental,Water,B1
ESCO.0216.00072,54_1_Ti6,GCA_902837705,PRJEB34791,ERS3882811,CADFVD010000001-CADFVD010000069,Host-associated,Human_Intestinal,B2
ESCO.0216.00073,47_4_R1,GCA_902837625,PRJEB34791,ERS3882812,CADFVE010000001-CADFVE010000057,Host-associated,Human_Intestinal,D
ESCO.0216.00074,M714,GCA_902837745,PRJEB34791,ERS3882813,CADFVF010000001-CADFVF010000171,Host-associated,Mammal_Faecal,B2
ESCO.0216.00075,E7615,GCA_902837655,PRJEB34791,ERS3882814,CADFVG010000001-CADFVG010000229,Environmental,Water,B2
ESCO.0216.00076,W3_35,GCA_902837565,PRJEB34791,ERS3882815,CADFVA010000001-CADFVA010000053,Host-associated,Poultry_Meat,B2
ESCO.0216.00077,H434,GCA_902837645,PRJEB34791,ERS3882816,CADFVI010000001-CADFVI010000106,Host-associated,Human_Extra-intestinal,B2
ESCO.0216.00079,A2_15,GCA_902837725,PRJEB34791,ERS3882817,CADFVO010000001-CADFVO010000079,Host-associated,Poultry_Meat,B2
ESCO.0216.00080,H104,GCA_902837735,PRJEB34791,ERS3882818,CADFVM010000001-CADFVM010000115,Host-associated,Human_Extra-intestinal,B2
